Usuario: testUser | Nombre: Test Nombre | Fecha: 2026-01-16 11:58:31
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-19 11:56:57
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-22 13:36:50
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:26:42
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:26:43
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:26:44
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:26:45
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:26:46
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:26:46
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:26:46
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:27:02
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:27:33
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:29:16
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:33:23
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:33:24
Usuario: F.Alo | Nombre: Fernando | Fecha: 2026-01-26 08:34:23
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:36:16
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:46:02
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:53:06
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 08:56:38
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:01:55
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:05:37
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:06:20
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:07:06
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:08:11
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:09:20
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:10:35
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:11:06
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:16:21
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 09:19:53
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-01-26 12:03:19
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 11:53:56
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 12:07:31
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 12:14:34
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 12:29:47
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 12:31:36
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 12:44:17
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 12:57:34
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 13:04:52
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 13:06:34
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 13:24:02
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 13:46:31
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-11 14:07:29
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 10:38:42
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 10:39:07
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 10:42:35
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 10:43:29
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 10:50:06
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 10:51:47
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 10:53:23
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 11:36:59
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 11:43:34
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 11:47:14
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 11:52:10
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 12:05:06
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 12:34:16
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 13:20:08
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-12 14:02:43
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 08:14:09
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 08:14:30
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 08:54:52
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 08:56:04
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:08:57
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:11:29
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:32:37
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:32:57
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:34:56
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:46:10
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:47:45
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:49:00
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 09:50:39
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 10:13:35
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 10:16:55
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 10:52:52
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 11:54:46
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 12:04:30
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 12:13:31
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 12:13:56
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 14:34:17
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 14:35:16
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 14:47:46
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 14:56:18
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-13 15:14:46
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-15 13:08:09
Usuario: TESTSystem | Nombre: Testeo | Fecha: 2026-03-16 12:46:47
------------------------------------------------------------------
			NEW LOG VERSION
------------------------------------------------------------------
[2026-03-16 14:22:23] ✅ ONARTUA: TESTSystem      | IZENA: Testeo 
------------------------------------------------------------------
[2026-03-16 14:22:36] ❌ ERROREA: Erabiltzaile edo pasahitz okerra 
ERABILTZAILEA: TESTError       | PASAHITZA: ERRORerror 
------------------------------------------------------------------
